cuid	dstring	day_score	sum_score
1	2016-07-18	37	8138
1	2016-07-25	51	8189
1	2016-08-01	32	8221
1	2016-08-08	47	8268
4	2016-07-17	6	42204
4	2016-07-18	379	42583
4	2016-07-25	165	42748
4	2016-08-01	79	42827
4	2016-08-08	68	42895
10	2016-07-18	0	225
10	2016-08-01	0	225
10	2016-08-08	0	225
11	2016-07-18	10	3931
11	2016-07-25	15	3946
11	2016-08-01	10	3956
14	2016-07-18	5	690
14	2016-07-25	5	695
14	2016-08-01	5	700
14	2016-08-08	5	705
24	2016-07-18	5	8547
24	2016-07-25	5	8552
24	2016-08-01	5	8557
24	2016-08-08	5	8562
31	2016-07-18	40	4248
31	2016-07-25	40	4288
31	2016-08-01	40	4328
31	2016-08-08	30	4358
38	2016-07-18	10	1590
38	2016-07-21	5	1595
38	2016-07-25	10	1605
38	2016-08-01	10	1615
38	2016-08-08	10	1625
38	2016-08-12	0	1625
39	2016-07-18	71	13677
39	2016-07-19	5	13682
39	2016-07-25	98	13780
39	2016-07-27	0	13780
39	2016-08-01	62	13842
39	2016-08-08	90	13932
57	2016-07-18	20	917
57	2016-07-25	20	937
57	2016-08-01	15	952
57	2016-08-08	20	972
108	2016-07-18	10	10401
108	2016-07-25	14	10415
108	2016-08-01	10	10425
108	2016-08-08	15	10440
108	2016-08-13	10	10450
111	2016-07-18	35	7987
111	2016-07-25	35	8022
111	2016-08-01	30	8052
111	2016-08-08	25	8077
126	2016-07-18	5	998
126	2016-07-25	5	1003
126	2016-08-01	10	1013
126	2016-08-08	0	1013
129	2016-07-14	0	890
129	2016-07-15	0	890
129	2016-07-16	6	896
129	2016-07-17	3	899
129	2016-07-18	28	927
129	2016-07-19	5	932
129	2016-07-20	5	937
129	2016-07-23	5	942
129	2016-07-25	41	983
129	2016-07-27	5	988
129	2016-07-28	5	993
129	2016-08-01	63	1056
129	2016-08-04	0	1056
129	2016-08-05	10	1066
129	2016-08-06	10	1076
129	2016-08-08	55	1131
129	2016-08-10	5	1136
129	2016-08-12	0	1136
129	2016-08-13	5	1141
147	2016-07-18	10	692
147	2016-07-25	10	702
147	2016-07-27	0	702
147	2016-08-01	10	712
147	2016-08-08	10	722
149	2016-07-17	0	10457
149	2016-07-18	119	10576
149	2016-07-19	0	10576
149	2016-07-24	5	10581
149	2016-07-25	111	10692
149	2016-07-26	6	10698
149	2016-07-29	5	10703
149	2016-07-30	0	10703
149	2016-08-01	101	10804
149	2016-08-05	5	10809
149	2016-08-08	163	10972
149	2016-08-12	5	10977
149	2016-08-14	0	10977
158	2016-07-18	40	19087
158	2016-07-25	25	19112
158	2016-08-01	30	19142
158	2016-08-08	25	19167
164	2016-07-18	64	8039
164	2016-07-20	11	8050
164	2016-07-21	10	8060
164	2016-07-22	5	8065
164	2016-07-25	94	8159
164	2016-07-27	5	8164
164	2016-08-01	65	8229
164	2016-08-08	65	8294
172	2016-07-18	15	941
172	2016-07-25	15	956
172	2016-08-01	25	981
172	2016-08-08	10	991
189	2016-07-18	18	787
189	2016-07-25	12	799
189	2016-07-30	5	804
189	2016-08-01	21	825
189	2016-08-08	15	840
192	2016-07-18	5	10785
192	2016-07-25	0	10785
192	2016-08-01	5	10790
192	2016-08-08	5	10795
199	2016-07-18	19	1621
199	2016-07-20	5	1626
199	2016-07-25	9	1635
199	2016-08-01	20	1655
199	2016-08-08	20	1675
199	2016-08-10	5	1680
201	2016-07-16	5	116
201	2016-07-18	2	118
201	2016-08-07	0	118
203	2016-07-14	10	5724
203	2016-07-15	5	5729
203	2016-07-18	80	5809
203	2016-07-24	5	5814
203	2016-07-25	51	5865
203	2016-07-28	5	5870
203	2016-07-29	5	5875
203	2016-08-01	45	5920
203	2016-08-02	0	5920
203	2016-08-08	90	6010
203	2016-08-09	5	6015
203	2016-08-11	10	6025
203	2016-08-12	5	6030
211	2016-07-18	5	2247
211	2016-07-25	0	2247
211	2016-08-08	0	2247
211	2016-08-12	5	2252
228	2016-07-16	8	8
228	2016-07-17	10	18
228	2016-07-18	2	20
228	2016-07-24	0	20
228	2016-07-25	1	21
228	2016-07-30	5	26
228	2016-08-01	2	28
228	2016-08-05	4	32
228	2016-08-08	5	37
228	2016-08-12	5	42
249	2016-07-14	0	4322
249	2016-07-18	15	4337
249	2016-07-25	0	4337
249	2016-08-01	10	4347
249	2016-08-08	10	4357
252	2016-07-18	0	236
252	2016-07-24	0	236
252	2016-07-25	0	236
252	2016-08-01	0	236
257	2016-07-18	35	2886
257	2016-07-25	25	2911
257	2016-07-26	5	2916
257	2016-07-30	5	2921
257	2016-08-01	50	2971
257	2016-08-08	30	3001
283	2016-07-17	5	61
283	2016-07-18	5	66
284	2016-07-17	0	2104
284	2016-07-18	20	2124
284	2016-07-19	0	2124
284	2016-07-25	10	2134
284	2016-08-01	10	2144
284	2016-08-03	0	2144
284	2016-08-08	5	2149
286	2016-07-18	5	968
286	2016-07-25	5	973
286	2016-08-01	0	973
286	2016-08-08	5	978
309	2016-07-18	5	349
309	2016-07-20	5	354
309	2016-07-28	0	354
311	2016-07-18	75	12647
311	2016-07-25	80	12727
311	2016-08-01	60	12787
311	2016-08-03	5	12792
311	2016-08-06	5	12797
311	2016-08-08	65	12862
311	2016-08-10	5	12867
318	2016-07-15	5	539
318	2016-07-18	15	554
318	2016-07-25	10	564
318	2016-08-01	10	574
318	2016-08-08	10	584
321	2016-07-14	5	3485
321	2016-07-18	30	3515
321	2016-07-19	5	3520
321	2016-07-20	4	3524
321	2016-07-25	50	3574
321	2016-07-28	0	3574
321	2016-07-30	10	3584
321	2016-08-01	40	3624
321	2016-08-02	5	3629
321	2016-08-08	55	3684
321	2016-08-13	5	3689
356	2016-07-18	127	20574
356	2016-07-25	137	20711
356	2016-08-01	152	20863
356	2016-08-08	160	21023
369	2016-07-18	32	3276
369	2016-07-21	4	3280
369	2016-07-25	30	3310
369	2016-08-01	40	3350
369	2016-08-08	48	3398
377	2016-07-18	5	2016
377	2016-07-25	5	2021
377	2016-08-01	5	2026
397	2016-07-18	5	1063
397	2016-07-19	5	1068
397	2016-07-25	5	1073
397	2016-08-01	5	1078
397	2016-08-08	5	1083
398	2016-07-16	5	399
398	2016-07-17	5	404
398	2016-07-18	25	429
398	2016-07-25	10	439
398	2016-08-01	5	444
398	2016-08-03	0	444
398	2016-08-08	20	464
398	2016-08-13	5	469
408	2016-07-18	0	3915
408	2016-07-25	0	3915
408	2016-08-01	0	3915
408	2016-08-08	0	3915
414	2016-07-18	10	689
414	2016-07-25	5	694
414	2016-08-01	5	699
414	2016-08-08	5	704
416	2016-07-18	5	1412
416	2016-07-25	5	1417
416	2016-08-01	5	1422
416	2016-08-08	10	1432
418	2016-07-18	60	2516
418	2016-07-23	10	2526
418	2016-07-25	90	2616
418	2016-08-01	80	2696
418	2016-08-08	45	2741
438	2016-07-18	0	2754
438	2016-07-25	0	2754
438	2016-08-01	0	2754
438	2016-08-08	0	2754
443	2016-07-18	108	4334
443	2016-07-25	98	4432
443	2016-08-01	103	4535
443	2016-08-08	109	4644
445	2016-07-14	1	2906
445	2016-07-15	5	2911
445	2016-07-16	15	2926
445	2016-07-18	55	2981
445	2016-07-19	5	2986
445	2016-07-20	5	2991
445	2016-07-21	10	3001
445	2016-07-24	5	3006
445	2016-07-25	45	3051
445	2016-07-30	3	3054
445	2016-07-31	5	3059
445	2016-08-01	45	3104
445	2016-08-02	5	3109
445	2016-08-08	40	3149
445	2016-08-11	0	3149
445	2016-08-12	0	3149
452	2016-07-29	0	232
452	2016-08-03	5	237
452	2016-08-10	5	242
452	2016-08-13	5	247
454	2016-07-18	5	4369
455	2016-07-14	5	10454
455	2016-07-18	125	10579
455	2016-07-23	25	10604
455	2016-07-25	105	10709
455	2016-07-26	5	10714
455	2016-07-27	0	10714
455	2016-07-29	5	10719
455	2016-07-30	5	10724
455	2016-08-01	185	10909
455	2016-08-08	105	11014
455	2016-08-11	5	11019
455	2016-08-12	0	11019
475	2016-07-21	2	264
475	2016-07-25	0	264
475	2016-08-01	0	264
475	2016-08-08	0	264
485	2016-07-18	5	28
495	2016-07-18	269	15515
495	2016-07-22	10	15525
495	2016-07-23	0	15525
495	2016-07-25	269	15794
495	2016-08-01	254	16048
495	2016-08-04	10	16058
495	2016-08-08	243	16301
501	2016-07-18	10	373
501	2016-07-25	10	383
501	2016-07-27	5	388
501	2016-08-01	20	408
501	2016-08-02	10	418
501	2016-08-05	0	418
501	2016-08-08	0	418
521	2016-07-18	3	2081
521	2016-07-25	5	2086
521	2016-08-01	5	2091
521	2016-08-08	5	2096
521	2016-08-13	5	2101
521	2016-08-14	5	2106
526	2016-07-18	168	17127
526	2016-07-25	128	17255
526	2016-08-01	137	17392
526	2016-08-08	99	17491
528	2016-08-13	0	54
578	2016-08-08	5	200
578	2016-08-11	5	205
578	2016-08-12	5	210
578	2016-08-13	5	215
599	2016-07-15	9	1215
599	2016-07-18	87	1302
599	2016-07-21	5	1307
599	2016-07-22	5	1312
599	2016-07-25	126	1438
599	2016-07-30	5	1443
599	2016-07-31	2	1445
599	2016-08-01	140	1585
599	2016-08-02	5	1590
599	2016-08-04	3	1593
599	2016-08-08	45	1638
654	2016-07-18	0	3894
654	2016-07-22	10	3904
654	2016-07-23	20	3924
654	2016-07-25	30	3954
654	2016-07-26	0	3954
654	2016-07-27	5	3959
654	2016-07-29	5	3964
654	2016-08-01	57	4021
654	2016-08-02	5	4026
654	2016-08-03	0	4026
654	2016-08-04	3	4029
654	2016-08-05	4	4033
654	2016-08-08	41	4074
654	2016-08-09	0	4074
654	2016-08-10	6	4080
654	2016-08-11	11	4091
654	2016-08-12	4	4095
654	2016-08-13	1	4096
691	2016-07-16	5	2740
691	2016-07-18	70	2810
691	2016-07-25	92	2902
691	2016-07-30	5	2907
691	2016-07-31	0	2907
691	2016-08-01	72	2979
691	2016-08-08	88	3067
698	2016-07-18	79	11615
698	2016-07-25	55	11670
698	2016-08-01	65	11735
698	2016-08-08	65	11800
711	2016-07-18	41	8107
711	2016-07-25	2	8109
711	2016-08-01	11	8120
711	2016-08-08	12	8132
722	2016-07-18	5	975
722	2016-07-25	5	980
732	2016-07-14	0	2890
732	2016-07-15	0	2890
732	2016-07-18	80	2970
732	2016-07-20	2	2972
732	2016-07-21	10	2982
732	2016-07-25	61	3043
732	2016-08-01	40	3083
732	2016-08-08	41	3124
732	2016-08-10	5	3129
732	2016-08-12	5	3134
732	2016-08-13	0	3134
762	2016-07-17	5	956
762	2016-07-18	60	1016
762	2016-07-20	5	1021
762	2016-07-25	68	1089
762	2016-07-26	5	1094
762	2016-07-27	5	1099
762	2016-07-28	5	1104
762	2016-07-30	0	1104
762	2016-08-01	73	1177
762	2016-08-03	0	1177
762	2016-08-08	79	1256
768	2016-07-18	0	904
768	2016-07-25	0	904
768	2016-08-01	0	904
768	2016-08-08	0	904
770	2016-07-18	10	5753
770	2016-07-25	5	5758
770	2016-08-01	5	5763
770	2016-08-08	0	5763
775	2016-07-14	24	7933
775	2016-07-18	50	7983
775	2016-07-25	73	8056
775	2016-08-01	54	8110
775	2016-08-08	45	8155
775	2016-08-14	10	8165
784	2016-07-15	10	1308
784	2016-07-16	5	1313
784	2016-07-18	5	1318
784	2016-07-20	0	1318
784	2016-07-21	5	1323
784	2016-07-22	10	1333
784	2016-07-23	5	1338
784	2016-07-24	8	1346
784	2016-07-25	20	1366
784	2016-07-27	5	1371
784	2016-07-28	5	1376
784	2016-07-29	5	1381
784	2016-07-30	6	1387
784	2016-07-31	5	1392
784	2016-08-01	19	1411
784	2016-08-08	0	1411
801	2016-07-18	5	514
801	2016-07-25	5	519
801	2016-08-01	10	529
801	2016-08-08	5	534
803	2016-07-14	5	1788
803	2016-07-16	0	1788
803	2016-07-18	57	1845
803	2016-07-20	0	1845
803	2016-07-24	5	1850
803	2016-07-25	105	1955
803	2016-07-27	5	1960
803	2016-07-28	1	1961
803	2016-08-01	80	2041
803	2016-08-02	4	2045
803	2016-08-04	9	2054
803	2016-08-08	23	2077
803	2016-08-10	4	2081
806	2016-07-18	0	575
806	2016-07-20	5	580
806	2016-07-22	15	595
806	2016-07-24	5	600
806	2016-07-25	0	600
806	2016-07-27	5	605
806	2016-07-28	0	605
806	2016-08-01	0	605
806	2016-08-08	0	605
806	2016-08-13	5	610
807	2016-07-14	5	1331
807	2016-07-18	24	1355
807	2016-07-19	5	1360
807	2016-07-25	20	1380
807	2016-07-29	0	1380
807	2016-07-30	0	1380
807	2016-07-31	5	1385
807	2016-08-01	32	1417
807	2016-08-05	0	1417
807	2016-08-08	24	1441
807	2016-08-12	0	1441
807	2016-08-13	5	1446
815	2016-07-14	5	2030
815	2016-07-15	10	2040
815	2016-07-16	5	2045
815	2016-07-17	10	2055
815	2016-07-18	0	2055
815	2016-07-19	10	2065
815	2016-07-20	10	2075
815	2016-07-22	5	2080
815	2016-07-23	25	2105
815	2016-07-24	5	2110
815	2016-07-25	5	2115
815	2016-07-26	10	2125
815	2016-07-27	5	2130
815	2016-07-29	5	2135
815	2016-07-30	9	2144
815	2016-08-01	0	2144
815	2016-08-02	25	2169
